x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
7.5,3.0,-97.35784614,-75.17124018,-75.95631683,-68.68712853,-69.3598893,-55.64447271,-56.66705605,-62.74083043,-75.05174482,-66.6474726,-77.4779042,-66.88426686,-67.8072629,-62.71046145,-56.6697639,-62.66759342
7.5,4.5,-76.46599628,-76.21618025,-72.38846566,-71.4734944,-68.3366644,-65.74444364,-59.00922194,-65.39345104,-78.25804763,-73.66009096,-75.18770745,-72.54678636,-73.30456774,-63.81367708,-60.68471281,-64.24736846
7.5,6.0,-72.1366802,-67.76966619,-87.57310468,-65.08598685,-79.61709864,-56.97648706,-62.02829271,-72.86519466,-71.9562754,-76.88169027,-79.67737278,-70.56773022,-71.86432713,-61.42976081,-57.02879352,-73.38586602
7.5,7.5,-76.36845891,-70.78410766,-66.45984498,-67.40187417,-74.06479497,-57.51136391,-69.30695741,-67.37839325,-74.80239263,-65.920175,-69.45391968,-68.19532574,-69.293734,-59.20018451,-63.72226937,-68.53321478
7.5,9.0,-77.29332845,-69.54613687,-76.53852324,-60.70575526,-72.26198655,-63.2851484,-60.61027577,-66.61234051,-77.73229154,-73.71962308,-72.97150993,-69.79455292,-68.28708142,-64.11222976,-58.14754372,-71.67058393
7.5,10.5,-72.74654602,-68.43320934,-69.86312234,-64.33522382,-77.28802702,-59.26041332,-61.66943783,-65.688657,-72.64789018,-64.92174115,-72.41778876,-66.12563364,-69.82438503,-58.38004398,-59.38603038,-65.24778079
7.5,12.0,-67.4066069,-67.1795672,-68.8237865,-69.96857514,-72.94167795,-57.06998343,-60.17036647,-69.82276089,-67.61369926,-72.98810491,-67.05179665,-63.09684241,-67.29435475,-58.19928241,-60.42035499,-63.72800136
7.5,13.5,-71.79202146,-73.34546909,-72.55109748,-65.40308822,-72.00390955,-60.56926304,-60.16634825,-72.43400749,-78.709347,-72.68068002,-70.30271201,-64.44752305,-65.87102992,-58.72109467,-58.92970674,-61.15925189
7.5,15.0,-68.83412055,-64.65496705,-69.98867048,-70.42541708,-72.31418719,-59.10102362,-61.42193161,-79.73763003,-69.55845799,-59.79612388,-75.01148194,-65.84835424,-74.69285765,-67.22487363,-67.90706869,-67.53735698
7.5,16.5,-66.35722275,-64.44470922,-69.45912533,-66.24419397,-69.39933719,-83.24712634,-69.60432222,-66.28270548,-71.54621595,-65.80017005,-78.51420079,-65.49770246,-67.7632091,-66.08098366,-69.45822789,-71.63346637
7.5,18.0,-65.22317256,-61.50214779,-68.17350229,-63.93013779,-78.20967352,-66.00786097,-74.98355538,-65.71513858,-70.58360561,-63.69399996,-71.71108072,-67.48918246,-72.94757565,-62.34331953,-67.33168515,-66.77445127
7.5,19.5,-65.77646555,-65.96877902,-68.30942075,-62.27522472,-66.6619902,-64.21926119,-61.15785527,-68.98591294,-68.88440773,-59.15141038,-67.55335702,-66.25904702,-68.85275179,-62.50305848,-63.4750173,-73.89447127
7.5,21.0,-66.04515887,-75.43224217,-71.52807708,-62.44272701,-74.38896618,-61.99515959,-71.82463614,-70.40596798,-69.63492574,-60.45198634,-71.50424998,-61.9890243,-62.62771461,-62.03981112,-63.09651862,-64.23942618
7.5,22.5,-65.95659336,-56.21589318,-80.20927729,-62.63490673,-72.54746076,-60.9577949,-61.38983583,-67.52340093,-74.18984358,-61.59251279,-79.28678154,-66.78891931,-74.27784832,-62.64259133,-62.07886532,-69.14162424
7.5,24.0,-66.72608264,-55.34967698,-75.31340997,-65.74725386,-69.9725481,-65.63219202,-67.23435576,-80.0574923,-69.5765584,-54.78387421,-66.31473302,-65.54899938,-69.7209594,-63.8332671,-70.74916159,-67.47568942
7.5,25.5,-71.09364762,-54.95457584,-70.6002131,-66.6262946,-66.41283239,-62.53883423,-66.30046459,-70.61726125,-68.18228672,-52.81089732,-64.45277355,-70.13388322,-69.19750346,-66.37883207,-70.90965132,-72.88252954
7.5,27.0,-70.65263537,-56.42997231,-77.77795292,-61.48691346,-70.94696538,-66.68844219,-97.42092082,-75.02891663,-66.26195974,-55.72922282,-65.24245056,-67.25149739,-69.08517409,-69.4059034,-69.03593349,-73.5500727
9.0,27.0,-62.29913834,-49.07744781,-71.74822212,-64.83091261,-65.51256989,-70.61076566,-64.64823897,-74.01580696,-70.59899734,-50.37498447,-65.65896153,-63.69977539,-72.27056128,-75.75658623,-66.7384475,-76.69767049
9.0,25.5,-65.69895164,-55.18977211,-72.38297156,-66.16046631,-65.44938315,-68.31536398,-64.64334603,-70.21726717,-71.24515664,-51.54775047,-63.24959743,-66.55932682,-66.54059934,-70.44674224,-64.71554396,-73.39758794
9.0,24.0,-66.23221049,-58.80940427,-72.59024742,-73.58322006,-68.55168734,-64.77210453,-62.75739901,-79.35023688,-68.14835284,-53.87961246,-65.58604257,-77.09665258,-72.61465555,-65.3938168,-63.72281139,-69.45636163
9.0,22.5,-74.52024096,-58.16122178,-76.03999633,-75.53739177,-69.13529494,-60.34508357,-64.58400303,-87.08902482,-70.09585707,-59.94335311,-64.54038571,-69.43494053,-61.83142333,-60.50983275,-65.11883452,-69.817844
9.0,21.0,-73.67678998,-58.89241724,-75.41734407,-65.54160956,-83.60421899,-68.22630405,-62.21212479,-74.19766205,-73.57381336,-61.10322594,-67.03132053,-65.94917844,-66.20276457,-61.54012528,-68.05705881,-67.64313284
9.0,19.5,-66.79033496,-61.82501307,-74.56674215,-61.59973024,-96.01661903,-60.57934386,-62.26395848,-65.50741974,-64.91016685,-62.38839674,-69.15076154,-66.54217507,-73.90585909,-65.74571525,-66.92848846,-71.11961091
9.0,18.0,-69.10013953,-60.23818436,-78.30635144,-73.43788011,-62.60901837,-67.32786094,-67.35744728,-81.08470608,-70.48760144,-62.32547756,-71.98156787,-69.33750168,-75.73426743,-65.98453031,-69.26516941,-69.74066721
9.0,16.5,-69.6673796,-68.38524114,-75.72577231,-62.01597778,-68.10262231,-69.21515378,-58.97531539,-66.38621489,-74.22516623,-66.35435652,-79.45367666,-62.72355539,-73.87421474,-67.46884588,-67.11944287,-72.32298285
9.0,15.0,-73.10809195,-65.78873129,-72.98084831,-69.33644281,-77.87442484,-61.26603504,-58.24807133,-71.4452426,-69.7305077,-64.41673817,-73.59445587,-70.09410963,-71.2244147,-64.01747402,-61.91078933,-67.58830412
9.0,13.5,-71.76996361,-68.18120668,-72.61547685,-68.22921685,-68.37095002,-58.88928374,-61.99340048,-67.90630309,-70.81052505,-66.7623265,-70.48729229,-67.58270681,-67.14740822,-61.35567536,-63.08705103,-68.69671367
