x,y,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8
7.5,25.5,-68.18228672,-52.81089732,-64.45277355,-70.13388322,-69.19750346,-66.37883207,-70.90965132,-72.88252954,-60.14856219,-51.26614509,-70.58704736,-68.11390397,-68.95946076,-62.16042723,-73.72910172,-73.91459163
7.5,27.0,-66.26195974,-55.72922282,-65.24245056,-67.25149739,-69.08517409,-69.4059034,-69.03593349,-73.5500727,-64.14953411,-56.05007926,-63.71155483,-62.11474962,-69.34386838,-68.77747161,-71.5019532,-73.72819929
9.0,27.0,-70.59899734,-50.37498447,-65.65896153,-63.69977539,-72.27056128,-75.75658623,-66.7384475,-76.69767049,-69.51996822,-49.70765507,-64.18047373,-67.84765644,-71.33846396,-74.43961168,-67.89164414,-78.32109518
9.0,25.5,-71.24515664,-51.54775047,-63.24959743,-66.55932682,-66.54059934,-70.44674224,-64.71554396,-73.39758794,-70.70159474,-51.98155835,-64.18707453,-68.60613175,-69.55306286,-69.78959949,-68.02830438,-73.92409953
9.0,24.0,-68.14835284,-53.87961246,-65.58604257,-77.09665258,-72.61465555,-65.3938168,-63.72281139,-69.45636163,-67.07582415,-54.5501849,-68.35202573,-72.80466115,-70.84602861,-64.10250021,-65.51523205,-70.07856753
9.0,22.5,-70.09585707,-59.94335311,-64.54038571,-69.43494053,-61.83142333,-60.50983275,-65.11883452,-69.817844,-68.21268574,-58.2750256,-65.61469762,-69.71055039,-66.47093114,-60.22639801,-66.3215734,-71.19275869
9.0,21.0,-73.57381336,-61.10322594,-67.03132053,-65.94917844,-66.20276457,-61.54012528,-68.05705881,-67.64313284,-72.78411509,-56.68406279,-71.28361829,-65.3872866,-66.9417487,-64.98449944,-69.33177786,-70.19621322
9.0,19.5,-64.91016685,-62.38839674,-69.15076154,-66.54217507,-73.90585909,-65.74571525,-66.92848846,-71.11961091,-67.80583383,-59.84140646,-71.71617546,-62.42518579,-70.39730022,-66.58466074,-66.65066263,-70.0456273
9.0,18.0,-70.48760144,-62.32547756,-71.98156787,-69.33750168,-75.73426743,-65.98453031,-69.26516941,-69.74066721,-72.15257258,-61.45165784,-74.94998206,-69.36502149,-72.86345327,-71.31376737,-69.27102638,-68.60416885
9.0,16.5,-74.22516623,-66.35435652,-79.45367666,-62.72355539,-73.87421474,-67.46884588,-67.11944287,-72.32298285,-73.17341604,-63.54789891,-76.73731497,-61.9192125,-65.33882315,-71.6271548,-66.12805483,-72.36323471
9.0,15.0,-69.7305077,-64.41673817,-73.59445587,-70.09410963,-71.2244147,-64.01747402,-61.91078933,-67.58830412,-70.86813889,-62.57375994,-73.7640977,-70.1389929,-68.96999795,-65.37904543,-64.69526718,-67.95990383
9.0,13.5,-70.81052505,-66.7623265,-70.48729229,-67.58270681,-67.14740822,-61.35567536,-63.08705103,-68.69671367,-71.07721178,-64.50524546,-70.18096315,-68.02946449,-63.20327245,-58.5728995,-62.47789887,-68.67407506
9.0,12.0,-77.56235972,-66.6765445,-72.61241081,-63.0085273,-63.95479514,-61.5917856,-65.08575568,-64.7161905,-74.98509824,-69.198741,-68.79743111,-71.20304446,-65.50050929,-60.36540659,-63.79932734,-64.85846162
9.0,10.5,-73.14079881,-64.98006351,-71.09917229,-65.64424623,-66.730525,-60.0449249,-58.77428577,-70.43994918,-75.28044523,-69.38822092,-71.19893308,-68.00135748,-66.93703553,-58.92778765,-58.12485373,-73.82140605
9.0,9.0,-72.31487224,-69.60988792,-73.89998451,-70.16717918,-65.77512959,-56.74440768,-56.06298751,-70.67983356,-70.48684646,-68.8609363,-70.45140796,-64.87424831,-65.28522755,-60.20097781,-56.22403956,-68.35806282
9.0,7.5,-69.82972737,-65.61961238,-70.23366553,-70.53260879,-65.26004365,-69.94498089,-59.47398978,-68.53636534,-70.98652331,-67.91659549,-71.13142024,-68.94599704,-65.33071865,-70.46232431,-59.12257193,-67.30600955
9.0,6.0,-72.69521844,-68.18414418,-71.14970378,-74.22719256,-66.27867476,-56.94870613,-56.28576334,-67.33764763,-72.07593639,-65.407936,-70.02430245,-72.98017478,-66.16271935,-56.92142548,-59.26683247,-69.54528301
