x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
5,5,-96.84024308,-65.23119202,-67.63334684,-70.88046922,-69.5863662,-57.05000146,-56.60633085,-67.28649388,-70.15425553,-66.00179086,-69.19802693,-69.67648039,-63.28726192,-58.18616023,-57.94270013,-67.60014996,-74.68034106,-60.94716463,-69.71970334,-69.78911352,-65.9709313,-60.69213868,-58.95696207,-68.06540592
5,6,-88.36280614,-61.15057301,-66.1246387,-61.04770483,-70.26856953,-60.24316068,-62.02082151,-69.04497253,-65.59389884,-64.26361312,-67.26318009,-62.02456605,-64.24301167,-58.88255246,-57.96998371,-72.24475255,-67.15079034,-62.52090115,-65.25820571,-61.50557842,-64.59534574,-58.07697179,-59.45653704,-69.261603
5,7,-63.61068166,-60.56964888,-67.50442818,-74.25740835,-68.18441246,-62.16789356,-63.13572014,-67.03327871,-64.8379121,-64.04215635,-63.60965648,-65.98548449,-65.3780902,-58.51527512,-58.94251043,-73.48240393,-64.87832776,-61.91134082,-61.5463562,-66.90181351,-65.86428112,-58.54421434,-57.80097443,-74.63824968
5,8,-66.94786638,-58.00520241,-68.15423016,-58.21377656,-68.08462606,-61.61243565,-58.72189411,-65.74010951,-71.75984324,-62.65640616,-61.80462684,-63.24506904,-67.64057546,-57.69320207,-57.4114546,-71.35766071,-69.29988333,-61.43196157,-62.03662961,-63.6732379,-61.87324726,-59.29056511,-59.93616403,-69.6026298
5,9,-65.88895376,-58.6386637,-65.47920379,-58.67127501,-69.36976891,-59.29355024,-96.23173364,-65.64036079,-64.83491502,-60.40148374,-62.34142916,-66.46667726,-69.15902191,-57.8884335,-57.93980506,-68.31736629,-67.85369349,-60.64550381,-59.88215163,-66.58027387,-70.34137247,-58.70481585,-59.61004274,-67.22722838
5,10,-63.52568099,-56.53051604,-66.43057064,-72.35138342,-70.3471431,-61.57648096,-65.72610643,-65.20152307,-63.22073091,-59.0873043,-60.50450814,-59.95115754,-68.7617662,-58.93133512,-57.03179808,-67.53579159,-64.92343361,-58.78848734,-62.99811344,-62.28388639,-66.61263876,-59.96498657,-58.52740297,-66.67346993
5,11,-68.77786088,-55.86103863,-68.39664396,-58.9067749,-67.20584675,-64.15779558,-59.51637399,-64.18018414,-70.85494534,-59.00355468,-60.45869698,-56.36481449,-68.31128733,-61.06769141,-59.38428091,-68.5178299,-69.1515574,-59.25560404,-59.83700663,-56.60218091,-67.04211243,-62.50899615,-63.81381987,-70.28062436
5,12,-60.46509266,-54.89349834,-70.58919387,-59.85276646,-66.52445606,-60.50210503,-61.18649494,-65.86835716,-64.66900667,-56.85928485,-60.80828827,-63.59216329,-67.54069744,-59.15736422,-62.71777826,-68.42722918,-65.51976467,-56.12042561,-61.34396425,-65.38473794,-72.06984304,-60.31394708,-65.65387868,-68.54684019
5,13,-61.90696551,-54.33761549,-67.28552365,-58.76403829,-67.96761503,-58.9840547,-60.13283993,-66.7386642,-68.73504929,-58.26858594,-61.3196485,-62.55789267,-69.49944065,-57.89101091,-62.60586361,-71.03216307,-71.40643589,-54.0618624,-63.44160605,-62.65404103,-68.87232765,-59.33646167,-64.61821146,-68.16488963
5,14,-70.23390151,-50.51856837,-65.89391601,-65.52980807,-65.38588713,-58.86735695,-58.69821337,-68.16544709,-66.47749769,-55.09547978,-62.79320641,-66.22607778,-68.71497297,-58.41727504,-60.00235343,-73.11712256,-63.29062762,-50.98522519,-60.49960563,-69.95846567,-66.39659526,-58.18733265,-60.78564841,-73.05712743
5,15,-65.16797346,-55.61318121,-68.35902425,-61.74524509,-66.24228838,-60.5613096,-58.58305244,-69.02004683,-66.72798736,-56.38611303,-64.28173826,-63.80542432,-70.33456431,-60.16065496,-61.59824233,-75.98284243,-70.40375302,-53.95489172,-63.59099903,-62.22312675,-70.9783987,-60.16749103,-61.14409684,-73.53865958
6,15,-70.09327795,-50.85567104,-70.22203725,-65.30117726,-63.82419653,-61.01135768,-58.90354074,-70.27963245,-67.1280852,-49.74389416,-65.06443796,-66.38548892,-67.94701043,-60.50768307,-61.06681672,-72.4266581,-70.35271507,-48.41119552,-67.35845462,-70.27401875,-66.25202488,-61.77926737,-62.23585308,-68.50895199
6,14,-69.76950041,-54.63987608,-70.39064691,-61.28980484,-79.63241493,-58.35009175,-59.27567096,-67.64714357,-65.46349851,-54.90444108,-62.89232011,-63.47643265,-65.75190665,-58.63484933,-61.16539454,-71.45901567,-71.09659216,-51.64779896,-62.20417419,-62.14324254,-64.49107644,-60.47550738,-61.97481835,-67.41699514
